#N: 50000
#D0: 0.6
#Df: 0.8
#g0: 0.00011404438009922212
#gf: 0.00012420711128265774
# 16.526554 seconds (17.12 M allocations: 814.778 MiB, 1.40% gc time)
0.0,0.6534672441093189
0.01,0.6536312809767318
0.02,0.6541210729038239
0.03,0.6549297167000804
0.04,0.6560458925964852
0.05,0.6574541001729711
0.06,0.6591350752354298
0.07,0.6610661845201864
0.08,0.6632219062612792
0.09,0.6655744590559448
0.1,0.668094534307887
0.11,0.6707518410727433
0.12,0.6735153767030208
0.13,0.6763546561036723
0.14,0.6792403818472036
0.15,0.682144817055186
0.16,0.6850417454182054
0.17,0.6879072362074299
0.18,0.6907208431876566
0.19,0.6934656093562999
0.2,0.6961276316578572
0.21,0.6986959821598988
0.22,0.7011634802643337
0.23,0.7035267332588221
0.24,0.7057855215796364
0.25,0.7079423412003862
0.26,0.7100024506932675
0.27,0.7119735949015867
0.28,0.7138653452610477
0.29,0.7156888501045126
0.3,0.7174560708900516
0.31,0.7191795629704183
0.32,0.7208719516087216
0.33,0.7225458886674604
0.34,0.7242129621678193
0.35,0.7258835287190678
0.36,0.7275666884585433
0.37,0.7292702917825037
0.38,0.7310002702018243
0.39,0.7327604696648754
0.4,0.7345529927282043
0.41,0.7363783568783203
0.42,0.7382352681932598
0.43,0.7401206531166875
0.44,0.742030203372744
0.45,0.7439585223976941
0.46,0.7458994031341805
0.47,0.7478459706627603
0.48,0.7497911362927218
0.49,0.7517276277632554
0.5,0.7536485343332214
0.51,0.7555475987185072
0.52,0.7574192709512544
0.53,0.7592587695903926
0.54,0.7610622824892629
0.55,0.7628273269626075
0.56,0.7645526959332649
0.57,0.7662381385721544
0.58,0.7678845285975694
0.59,0.7694938927792493
0.6,0.7710692429326587
0.61,0.7726142418036054
0.62,0.7741331553608173
0.63,0.7756306674485489
0.64,0.77711167341725
0.65,0.7785811098273765
0.66,0.780043693677709
0.67,0.78150368909238
0.68,0.7829648375667113
0.69,0.7844303383647764
0.7,0.7859025883271071
0.71,0.7873830210171593
0.72,0.7888722096504689
0.73,0.7903699900712953
0.74,0.7918753137845994
0.75,0.7933862383819135
0.76,0.7949001733617787
0.77,0.7964140025768778
0.78,0.7979241819211357
0.79,0.7994268177009999
0.8,0.800917909569017
0.81,0.8023934065768721
0.82,0.8038494774178634
0.83,0.8052826353787153
0.84,0.8066898088817616
0.85,0.8080683616287876
0.86,0.8094162926584649
0.87,0.8107323590099813
0.88,0.8120159924095867
0.89,0.8132672059148268
0.9,0.8144867037186756
0.91,0.8156758815159594
0.92,0.8168366288092859
0.93,0.8179712466404112
0.94,0.8190823560817865
0.95,0.8201728364270757
0.96,0.8212456260949658
0.97,0.8223036801942024
0.98,0.823349737265331
0.99,0.824386261776071
1.0,0.82541537496868
1.01,0.8264388273636959
1.02,0.8274577932968468
1.03,0.828472848610084
1.04,0.8294840754690258
1.05,0.8304910425337673
1.06,0.8314927370861881
1.07,0.832487601324243
1.08,0.833473734418004
1.09,0.8344488961204044
1.1,0.8354106004414779
1.11,0.8363561735192145
1.12,0.8372829299941371
1.13,0.8381882090995113
1.14,0.8390695641363921
1.15,0.8399247924341521
1.16,0.8407519937441931
1.17,0.8415496187928612
1.18,0.8423166266789741
1.19,0.8430524803228575
1.2,0.8437570509503148
1.21,0.8444306683915017
1.22,0.8450741583279594
1.23,0.8456887829491828
1.24,0.8462760876330697
1.25,0.8468378964986728
1.26,0.8473762392727814
1.27,0.8478932691984553
1.28,0.8483911562746179
1.29,0.8488720033114254
1.3,0.8493377309208913
1.31,0.8497900388011221
1.32,0.8502303825655639
1.33,0.8506598680330824
1.34,0.8510791661593207
1.35,0.8514885483586485
1.36,0.8518879455808002
1.37,0.8522768784114184
1.38,0.8526544467197502
1.39,0.8530194389448966
1.4,0.853370397952725
1.41,0.853705661409181
1.42,0.8540233995496933
1.43,0.854321736187745
1.44,0.8545987832078212
1.45,0.8548527730240743
1.46,0.8550821078173884
1.47,0.8552854100223566
1.48,0.8554615291304324
1.49,0.8556096701549668
1.5,0.8557294269581848
1.51,0.8558207300855702
1.52,0.8558838314728642
1.53,0.8559193593912151
1.54,0.85592831020359
1.55,0.8559119250738811
1.56,0.8558716712455336
1.57,0.8558091875780658
1.58,0.8557262532660694
